,Unnamed: 0,Code,2012/13,income_decile,postcode,overcrowding,lat,long,deprivation_y
1521,409,E01000408,40690,2,DA176AA,7,51.491001000000004,0.159667,4
1522,417,E01000416,41190,3,SE2 9QG,7,51.491477,0.122768,4
1523,159,E01000159,54210,7,N11 3AR,7,51.621614,-0.151775,5
1524,2962,E01002933,55750,8,KT2 5TA,7,51.416294,-0.296914,6
1525,570,E01000573,46780,5,HA3 0QN,7,51.572188,-0.295835,7
1526,3492,E01003458,67320,9,SW191EH,7,51.418853000000006,-0.193347,9
1527,4204,E01004162,50450,6,SM1 1SF,7,51.36342,-0.194926,7
1528,618,E01000624,43050,3,NW9 7JH,7,51.574227,-0.25654899999999997,6
1529,2228,E01002207,48210,6,HA2 9JP,7,51.569443,-0.37688699999999997,8
1530,1485,E01001484,42740,3,EN1 1ER,7,51.640928,-0.058609,4
1531,255,E01000255,50740,6,NW7 1AY,7,51.619336,-0.220831,5
1532,3185,E01003157,64920,9,SW120AB,7,51.447913,-0.14478,6
1533,3295,E01003267,39880,2,SE129PU,7,51.426909,0.03444,2
1534,1466,E01001465,41060,3,N18 1BD,7,51.616394,-0.083071,3
1535,1398,E01001396,46040,5,N11 1RW,7,51.614670000000004,-0.13779,4
1536,721,E01000721,35990,1,BR5 3FJ,7,51.392623,0.11598900000000001,1
1537,4689,E01004636,58270,8,SW195ND,7,51.440162,-0.223773,6
1538,1436,E01001434,40800,3,EN3 5DH,7,51.65953,-0.032847,3
1539,3790,E01003754,43910,4,IG2 7AY,7,51.5698,0.091955,6
1540,2551,E01002533,49280,6,HA4 0RP,7,51.580543,-0.44418100000000005,5
1541,2249,E01002228,50990,7,HA7 3AT,7,51.617036,-0.321701,7
1542,1923,E01001904,72590,10,SW6 6AA,7,51.48081,-0.21432199999999998,7
1543,1074,E01001074,50250,6,CR2 4AA,7,51.326698,-0.11979300000000001,5
1544,3378,E01003353,43420,4,BR1 5GN,7,51.42715,-0.009424,4
1545,579,E01000582,65180,9,NW103HH,7,51.536654,-0.214876,6
1546,1078,E01001078,37950,1,CR0 0DB,7,51.339903,-0.015318,2
1547,1271,E01001271,45460,4,UB5 4LD,7,51.552607,-0.352157,5
1548,4628,E01004573,45200,4,SW153AN,7,51.438072,-0.248031,3
1549,2335,E01002313,37250,1,RM1 4DQ,7,51.607021,0.203165,3
1550,1314,E01001314,48660,6,UB6 0JP,7,51.553512,-0.32970900000000003,7
1551,67,E01000069,49550,6,IG119AA,7,51.541338,0.09849400000000001,6
1552,2588,E01002567,50150,6,TW8 0DZ,7,51.489467,-0.304444,6
1553,1055,E01001055,34450,1,CR0 0QF,7,51.352169,-0.017963,2
1554,4521,E01004466,51680,7,E17 9BZ,7,51.57915,-0.0071189999999999995,5
1555,3422,E01003388,43760,4,CR4 2AR,7,51.409982,-0.15955999999999998,3
1556,3313,E01003285,53360,7,SE120AA,7,51.449265999999994,0.013068000000000001,6
1557,252,E01000252,54180,7,EN5 1EQ,7,51.64735,-0.188079,6
1558,2857,E01002828,141700,10,W11 3LB,7,51.508487,-0.19888699999999998,6
1559,2581,E01002560,39950,2,TW148AA,7,51.452215,-0.427304,3
